City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Saint-Joseph,RE,2021-04-23 20:51:18,-21.3667,55.6167,77.0,73,75,5.75,light rain
60,Maragogi,BR,2021-04-23 20:51:18,-9.0122,-35.2225,78.82,79,1,7.02,clear sky
61,Georgetown,MY,2021-04-23 20:51:19,5.4112,100.3354,78.8,89,40,3.44,scattered clouds
62,Ushuaia,AR,2021-04-23 20:51:19,-54.8,-68.3,42.8,87,75,2.3,broken clouds
63,Geraldton,AU,2021-04-23 20:51:19,-28.7667,114.6,59.0,88,90,6.91,overcast clouds
64,Olafsvik,IS,2021-04-23 20:51:19,64.8945,-23.7142,43.5,91,100,11.1,overcast clouds
65,Chuy,UY,2021-04-23 20:50:38,-33.6971,-53.4616,67.78,81,23,13.67,few clouds
66,Severo-Kurilsk,RU,2021-04-23 20:51:20,50.6789,156.125,35.67,93,99,7.76,overcast clouds
67,East London,ZA,2021-04-23 20:51:20,-33.0153,27.9116,65.05,76,10,10.63,clear sky
68,Tonantins,BR,2021-04-23 20:51:20,-2.8731,-67.8022,81.54,91,88,2.37,overcast clouds
69,Hobart,AU,2021-04-23 20:51:21,-42.8794,147.3294,51.8,71,40,10.36,scattered clouds
70,Mayor Pablo Lagerenza,PY,2021-04-23 20:51:21,-19.9309,-60.7718,88.92,42,73,12.88,broken clouds
71,Palmer,US,2021-04-23 20:49:42,42.1584,-72.3287,60.8,20,20,17.27,few clouds
72,Rio Gallegos,AR,2021-04-23 20:48:07,-51.6226,-69.2181,55.4,50,75,4.61,broken clouds
73,Mount Gambier,AU,2021-04-23 20:51:22,-37.8333,140.7667,48.2,100,40,8.05,scattered clouds
74,Mar Del Plata,AR,2021-04-23 20:51:10,-38.0023,-57.5575,75.2,64,75,6.91,broken clouds
75,Gat,IL,2021-04-23 20:51:22,31.61,34.7642,66.0,100,69,4.68,broken clouds
76,Nome,US,2021-04-23 20:51:23,64.5011,-165.4064,41.0,56,1,5.75,clear sky
77,Tilichiki,RU,2021-04-23 20:51:18,60.4667,166.1,20.07,85,58,4.65,broken clouds
78,Lata,PT,2021-04-23 20:51:23,40.1629,-8.3327,61.0,89,96,1.01,overcast clouds
79,Zhangye,CN,2021-04-23 20:51:23,38.9342,100.4517,38.39,87,100,5.73,overcast clouds
80,Bengkulu,ID,2021-04-23 20:51:24,-3.8004,102.2655,73.83,89,87,3.49,overcast clouds
81,Sibolga,ID,2021-04-23 20:51:13,1.7427,98.7792,75.65,88,100,2.86,overcast clouds
82,Merrill,US,2021-04-23 20:50:21,45.1805,-89.6835,55.0,43,90,9.22,overcast clouds
83,Faanui,PF,2021-04-23 20:51:24,-16.4833,-151.75,80.53,74,73,10.96,light rain
84,Salem,IN,2021-04-23 20:51:25,11.65,78.1667,78.55,72,100,2.8,light rain
85,Atuona,PF,2021-04-23 20:51:25,-9.8,-139.0333,80.11,80,28,22.08,light rain
86,Hithadhoo,MV,2021-04-23 20:51:25,-0.6,73.0833,81.91,74,8,7.45,clear sky
87,San Patricio,US,2021-04-23 20:51:04,28.017,-97.5169,84.2,74,75,21.85,broken clouds
88,Oksfjord,NO,2021-04-23 20:51:26,70.2396,22.3479,35.6,60,75,17.27,broken clouds
89,Diamantino,BR,2021-04-23 20:51:26,-14.4086,-56.4461,82.33,60,38,3.71,scattered clouds
90,Cape Town,ZA,2021-04-23 20:47:02,-33.9258,18.4232,61.0,94,0,3.44,clear sky
91,Okhotsk,RU,2021-04-23 20:51:26,59.3833,143.3,16.5,69,2,19.28,clear sky
